APPL_NO,APP_ID,FORM,ST_NUM,ST_NAME,ST_TYPE,PRJ_NAME,STDADD,BLOCK,LOT,UNITS,NETUNITS, AFFHSG ,TARGET,TYPE,DESCRIPT,EXISTUSE,PROPUSE,ACTION,ACTDATE,STAFF,BLKLOT,GEN_ZONE,ZONING,PD,PLANAREA,ANA_NBHD,LAT_LNG
200702063551,606463,2,1718,DIAMOND,ST,,1718 DIAMOND ST,7535,102,1,1, -   ,,,"ERECT: 1 3-STORY, SINGLE FAMILY DWELLING",,1 FAMILY DWELLING,CFC ISSUED,15-Sep-14,SAMARASI,7535102,"Residential, House and Mixed",RM-1,7,,Noe Valley,"[37.7437753, -122.4358377]"
200702063548,606460,2,1728,DIAMOND,ST,,1728 DIAMOND ST,7535,102,1,1, -   ,,,"ERECT: 1 3-STORY, TYPE-5 RESIDENTIAL STRUCTURE.",,1 FAMILY DWELLING,CFC ISSUED,26-Sep-14,DWASHING,7535102,"Residential, House and Mixed",RM-1,13,,Noe Valley,"[37.7436993, -122.4357209]"
201008168852,726645,2,173,MARSTON,AV,,173 MARSTON AV,3185,023,1,1, -   ,,,TO ERECT 3 STORIES SINGLE FAMILY RESIDENCE.,,1 FAMILY DWELLING,COMPLETE,18-Sep-14,APUTRA,3185023,"Residential, House and Mixed",RH-1,7,,West of Twin Peaks,"[37.7273051, -122.4477565]"
200702063550,606462,2,1738,DIAMOND,ST,,1738 DIAMOND ST,7535,102,1,1, -   ,,,"TO ERECT 3 STORY, TYPE 5, SINGLE FAMILY DWELLING BUILDING.",,1 FAMILY DWELLING,CFC ISSUED,26-Sep-14,RCRAWFOR,7535102,"Residential, House and Mixed",RM-1,10,,Noe Valley,"[37.743615, -122.4357997]"
201307222392,815369,6,174,WEST POINT,RD,,174 WEST POINT RD,4624,031,-2,-2, -   ,,,"BLDG 20 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",2 FAMILY DWELLING,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,3,Hunters View,Bayview Hunters Point,"[37.7353129, -122.3800685]"
201203075572,771157,2,1771,WASHINGTON,ST,,1771 WASHINGTON ST,0619,009,3,3, -   ,,,ERECT 4 STORY THREE UNITS BUILDING.,,APARTMENTS,COMPLETE,12-Nov-14,GCABRERO,0619009,Commercial,RC-4,10,Van Ness Corridor,Russian Hill,"[37.7930012, -122.422178]"
201307222390,815367,6,178,WEST POINT,RD,,178 WEST POINT RD,4624,031,-4,-4, -   ,,,"BLDG 19 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,6,Hunters View,Bayview Hunters Point,"[37.7353129, -122.3800685]"
201003057685,712508,3,179,DELMAR,ST,,179 DELMAR ST,1270,053,2,1, 1 ,SEC,Homeowner,"HORIZONTAL & VERTICAL EXTENSION TO CONVERT A SINGLE FAMILY INTO 2 FAMILY DWELLINGS. RAISE BLDG 2' TO FLATTEN SLOPE OF GARAGE TO GROUND FLOOR IS ENLARGE TO CREATE 2 CAR GARAGES AND ADD 1 BEDROOM. 2ND UNIT. 2ND FL IS ENLARGED FOR NEW FAMILY RM, DINING RM.& ",1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,30-Dec-14,APUTRA,1270053,"Residential, House and Mixed",RH-2,7,,Haight Ashbury,"[37.7657984, -122.4453474]"
201303152358,803305,1,180,YUKON,ST,,180 YUKON ST,2716,056,2,2, -   ,,,TO COMPLETE AND FINALIZE WORK UNDER 200705252312 REF TO PA 201011124876; TO OBTAIN FINAL INSPECTION,2 FAMILY DWELLING,2 FAMILY DWELLING,CFC ISSUED,12-Jun-14,,2716056,"Residential, House and Mixed",RH-2,3,,Castro/Upper Market,"[37.7572704, -122.4423509]"
201202214559,769966,1,1800,VAN NESS,AV,Marlowe,1800 VAN NESS AV,0619,010,95,95, 15 ,MOD,Homeowner,"ERECT 8 STORIES, 98 DWELLING UNITS, 2 BASEMENTS, TYPE 1 NEW BUILDING.",,APARTMENTS,COMPLETE,12-Nov-14,GCABRERO,0619010,Commercial,RC-4,3,Van Ness Corridor,Nob Hill,"[37.7925491, -122.4222916]"
201402188771,835148,1,1841,STOCKTON,ST,,1841 STOCKTON ST,0076,005,2,2, -   ,,,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA#200302197737 ALL WORK IS COMPLETE.,VACANT LOT,2 FAMILY DWELLING,COMPLETE,21-Aug-14,,0076005,"Residential, House and Mixed",RM-1,9,,North Beach,"[37.8027077, -122.4096968]"
201104224606,745775,1,185,CHANNEL,ST,,185 CHANNEL ST,8711,023,315,315, -   ,,,"TO ERECT 8 STORIES, 315 UNITS RESIDENTIAL, RETAIL, PARKING BUILDING.",,APARTMENTS,COMPLETE,22-Jul-14,PARCE,8711023,Redevelopment Agency,MB-RA,5,,Mission Bay,"[37.7742388, -122.3910847]"
200711309388,639014,2,1870,GOLDEN GATE,AV,,1870 GOLDEN GATE AV,1152,017,3,3, -   ,,,"TO ERECT 4 STORIES, 3 UNITS APARTMENTS & GARAGE.",,APARTMENTS,COMPLETE,08-Jul-14,GCABRERO,1152017,"Residential, House and Mixed",RM-1,5,,Western Addition,"[37.77859, -122.441443]"
201303293418,804578,3,1927,GOLDEN GATE,AV,,1927 GOLDEN GATE AV,1158,037,2,1, 1 ,SEC,Homeowner,CONVERT BUILDING FROM SINGLE FAMILY TO 2 UNIT DWELLING. TOP FLOOR TO BE NEW UNIT.,1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,17-Jun-14,CLAMOREN,1158037,"Residential, House and Mixed",RH-3,1,,Lone Mountain/USF,"[37.77802399999999, -122.442366]"
201210232627,791651,3,194,PARKER,AV,,194 PARKER AV,1065,026A,4,1, 1 ,SEC,Homeowner,CONVERT (E) STORGE SPACE INTO ONE(1) NEW DWELLING UNIT BY ALTERING GROUND LEVEL STORAGE SPACE AT THE REAR OF THE (E) 3 UNIT BUILDING WITH HORIZONTAL EXTENSION OF THE FIRST FLOOR.,APARTMENTS,APARTMENTS,COMPLETE,21-Nov-14,SVELLVE,1065026A,Neighborhood Commercial,NC-3,3,Geary Corridor,Presidio Heights,"[37.7818217, -122.4541961]"
201406178558,846835,8,1945,HYDE,ST,The Garage,1945 HYDE ST,0123,002,7,7, -   ,in-lieu,,"UNIT 2: RELOCATE 4 EXISTING HSW, ADD 1 CONCEALED PENDENT FOR RESIDENTIAL REMODEL. T.I. PA# 201005172557",PRKNG GARAGE/PUBLIC,APARTMENTS,COMPLETE,26-Jun-14,,0123002,Neighborhood Commercial,NC-1,10,,Russian Hill,"[37.7988349, -122.4192567]"
201212045401,794997,3,1963,OAKDALE,AV,,1963 OAKDALE AV,5319,034,2,1, 1 ,SEC,Homeowner,REVISION TO PA# 2012/07/31/6103. CONVERT SINGLE FAMILY TO 2 UNITS RESIDENCE. ADD KITCHEN ON 1ST FLOOR. CONVERT WINDOW TO SLIDING GLASS DOOR TO REAR YARD.,1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,30-Dec-14,JSPEIRS,5319034,"Residential, House and Mixed",RH-2,2,Bayview Hunters Point,Bayview Hunters Point,"[37.738239, -122.397294]"
201206182829,779776,2,1973,FILBERT,ST,,1973 FILBERT ST,0531,022,1,1, -   ,,,"ERECT 3 STORIES, TYPE 5, 1 DWELLING UNIT RESIDENTIAL BUILDING.",,1 FAMILY DWELLING,COMPLETE,12-Sep-14,ASTARR,0531022,"Residential, House and Mixed",RH-2,6,,Marina,"[37.79823200000001, -122.431767]"
201012217106,736814,1,1998,MARKET,ST,Linea,1998 MARKET ST,0872,007,115,115, -   ,off-site,,"TO ERECT 9 STORIES, 114 RESIDENTIAL UNITS WITH RETAIL & PARKING BUILDING.",,APARTMENTS,COMPLETE,22-Jul-14,JIONIN,0872007,Neighborhood Commercial Transit,NCT-3,12,Market and Octavia,Hayes Valley,"[37.7698639, -122.4264072]"
201206132547,779435,8,2,CIELITO,DR,,2 CIELITO DR,6326,001,1,-1, -   ,,,"COMPLY WITH NOV 201209622. CONVERT E KITCHEN TO BAR ROOM, REMOVE E STOVVE. LEGALIZE E BATH, LIVING ROOM, BEDROOM. NEW WINDOW AT BEDROOM",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,12-Nov-14,ATAEB,6326001,"Residential, House and Mixed",RH-1,9,,Visitacion Valley,"[37.7102333, -122.4218125]"
201012015856,735309,3,2000,20TH,ST,,2000 20TH ST,4072,023,2,1, 1 ,SEC,Homeowner,PROPOSED ALTERATION AND VERTICAL ADDITION.,1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,11-Sep-14,RSUCRE,4072023,"Residential, House and Mixed",RM-1,13,Eastern Neighborhoods w/Valencia,Potrero Hill,"[37.7598717, -122.4013773]"
201307303146,816286,8,201,BEVERLY,ST,,201 BEVERLY ST,6999,023,1,-1, -   ,,,REMOVE ILLEGAL KITCHEN & LEGALIZE TWO ROOMS & ONE BATH ON FIRST FLOOR.,1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,21-Mar-14,OMOKAROE,6999023,"Residential, House and Mixed",RH-1,10,,Oceanview/Merced/Ingleside,"[37.719755, -122.471957]"
201307222398,815375,6,201,WEST POINT,RD,,201 WEST POINT RD,4624,032,-4,-4, -   ,,,"BLDG 53 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624032,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7350812, -122.3794484]"
201307031151,813857,8,2010,QUESADA,AV,,2010 QUESADA AV,5330,005,1,-1, -   ,,,"1)COMPLY WITH COMPLAINT #201388203. 2)1ST FLOOR:REMOVE ILLEGAL KITCHEN,LEGALIZED 3 BEDROOMS, ONE FULL BATH AND LAUNDRY. 3)LOWER FLOOR: ADD PLAY ROOM. 1 BEDROOM, STORAGE AND HALF BATH.",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,20-Feb-14,EOROPEZA,5330005,"Residential, House and Mixed",RH-1,2,Bayview Hunters Point,Bayview Hunters Point,"[37.736875, -122.397161]"
201307111596,814425,3,2028,BEACH,ST,,2028 BEACH ST,0913,011,3,1, 1 ,SEC,Homeowner,"CONVERT (E) R-3 TO R-2 (3 UNITS). ADD GROUND LEVEL UNIT, AS WELL AS HORIZONTAL EXTENSION AT THE 2ND & 3RD LEVELS. INSTALL FIRE SPRINKLERS ON ENTIRE FIRST FLOOR AND NEW ADDITION ON 2ND & 3RD FLOOR UNDER SEPARATE PERMIT. FIRE ALARM UNDER SEPARATE PERMIT.",2 FAMILY DWELLING,APARTMENTS,COMPLETE,07-Nov-14,KBURNS,0913011,"Residential, House and Mixed",RH-3,13,,Marina,"[37.80412500000001, -122.442555]"
200805061388,654180,2,203,LOS PALMOS,DR,,203 LOS PALMOS DR,3027A,120,1,1, -   ,,,CONSTRUCTION OF THREE-STORY SINGLE FAMILY DWELLING.,,1 FAMILY DWELLING,CFC ISSUED,03-Sep-14,EWATTY,3027A120,"Residential, House and Mixed",RH-1,10,,West of Twin Peaks,"[37.7358299, -122.4492508]"
201401095906,831695,8,205,TOPEKA,AV,,205 TOPEKA AV,5335C,001B,1,-1, -   ,,,COMPLY WITH 201307503. REMOVE ILLEGAL KITCHEN. CONVERT TO LAUNDRY ROOM OR LEGALIZE FAMILY ROOM. 1 FULL BATH. ALL WORK AT GR FL,1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,19-Feb-14,SVELLVE,5335C001B,"Residential, House and Mixed",RH-1,13,Bayview Hunters Point,Bayview Hunters Point,"[37.73334, -122.397353]"
200805061381,654168,2,207,LOS PALMOS,DR,,207 LOS PALMOS DR,3027A,119,1,1, -   ,,,CONSTRUCTION OF THREE-STORY SINGLE FAMILY DWELLING.,,1 FAMILY DWELLING,CFC ISSUED,03-Sep-14,EWATTY,3027A119,"Residential, House and Mixed",RH-1,12,,West of Twin Peaks,"[37.7358226, -122.4493346]"
9809016S,,2,209,DUBLIN,ST,,209 DUBLIN ST,6284,008,0,1, -   ,,,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA#9809017. ALL WORK IS COMPLETE.,1 FAMILY DWELLING,1 FAMILY DWELLING,COMPLETE,22-Jul-14,,6284008,"Residential, House and Mixed",RH-1,9,,Excelsior,"[37.7166629, -122.427491]"
201111179162,763482,1,2121,03RD,ST,Gantry,2121 03RD ST,4045,002,105,105, 18 ,LI,Family,"ERECT 105 DWELLING UNITS, 7 STORIES, RESIDENTIAL/PARKING BUILDING.",,APARTMENTS,COMPLETE,12-Nov-14,BFU,4045002,Eastern Neighborhoods Mixed Use,UMU,13,Eastern Neighborhoods w/Valencia,Potrero Hill,"[37.7626998, -122.3882527]"
2.01309E+11,,2,213,LOS PALMOS,DR,,213 LOS PALMOS DR,3027A,118,1,1, -   ,,,,,1 FAMILY DWELLING,COMPLETE,19-Sep-14,,3027A118,"Residential, House and Mixed",RH-1,2,,West of Twin Peaks,"[37.7358181, -122.4494332]"
201208318724,786822,3,2137,BEACH,ST,,2137 BEACH ST,0919,007D,3,1, 1 ,SEC,Homeowner,"DIVIDE (E) LEGALLY CREATED DWELLING UNIT #2135 INTO (2) SEPARATE DWELLING UNITS, THEREBY CREATING A (3) UNIT BLDG, WHICH WAS (2) UNITS. ENTIRE GROUND FLOOR SHALL BE SPRINKLED PER NFPA 13 UNDER SEPERATE PERMIT. (N) UNIT SHALL BE 859 SQ FT.  NO CHANGE IN BL",2 FAMILY DWELLING,APARTMENTS,COMPLETE,01-May-14,SYOUNG,0919007D,"Residential, House and Mixed",RH-3,2,,Marina,"[37.803531, -122.4443035]"
201201041698,766470,3,2152,LYON,ST,,2152 LYON ST,0982,022,2,-1, -   ,,,"CHANGE OF USE R2 TO R3. COMBINE MID & TOP FLR UNITS (2150, 2152 LYON ST.) INTO 1 UNIT. REMOVE KITCH IN 2150, & REMOVE INT STAIRWAY ENCL WALLS & REPLACE W/ OPEN GUARD RAILS. DR CASE FILED 2011.1419D W/ PLANNING ON 12/20/11. W/ 311 MATERIALS. STRUCT REF TO ",APARTMENTS,2 FAMILY DWELLING,COMPLETE,17-Apr-14,CLAMOREN,0982022,"Residential, House and Mixed",RH-3,2,,Pacific Heights,"[37.7908787, -122.4460731]"
200702134062,607106,1,2157,GREEN,ST,,2157 GREEN ST,0557,061,1,1, -   ,,,ERECT:1  5-story single family dwelling,,1 FAMILY DWELLING,COMPLETE,06-Jan-14,ASTARR,0557061,"Residential, House and Mixed",RH-2,2,,Marina,"[37.7961438, -122.4346848]"
200705211788,616758,3,2157,LOMBARD,ST,,2157 LOMBARD ST,0510,029,3,1, 1 ,SEC,Homeowner,"TO COMPLY WITH NOV#200665975 TO ESTABLISH LEGALITY OF UNITS # OF (3) TOTAL, TO ESTABLISH LEGALITY OF WALL SIGN.",2 FAMILY DWELLING,APARTMENTS,CFC ISSUED,13-Mar-14,RACHNA,0510029,Neighborhood Commercial,NC-3,7,,Marina,"[37.7995299, -122.4369355]"
201207205377,782813,1,2175,MARKET,ST,,2175 MARKET ST,3543,011,88,88, 18 ,LI,Family,"ERECT 6 STORIES , 88 DWELLING UNIT.TYPE 5 OVER 1",,APARTMENTS,TCO ISSUED,17-Oct-14,MSMITH,3543011,Neighborhood Commercial Transit,UPR MARKET NCT,12,Market and Octavia,Castro/Upper Market,"[37.7663573, -122.4300444]"
201311061289,826214,8,2209,CAYUGA,AV,,2209 CAYUGA AV,7145,088,2,-1, -   ,,,"COMPLY WITH COMPLAINT #201330791. REMOVE UNPERMITTED KITCHEN AT GROUND FLOOR, LEGALIZED home OFFICE, 2 BATHROOMS, BEDROOM & LAUNDRY AT GROUND FLOOR.",2 FAMILY DWELLING,2 FAMILY DWELLING,CFC ISSUED,16-Jun-14,MCORRETT,7145088,"Residential, House and Mixed",RH-2,6,,Outer Mission,"[37.709901, -122.4547]"
200509142800,557929,1,2210,MARKET,ST,The Century,2210 MARKET ST,3560,001,22,22, 3 ,MOD,Homeowner,"TO ERECT  5 STORIES AND BASEMENT(UNDERGROUND PARKING),22 DWELLING UNITS AND 2 COMMERCIAL USES THAT COMPLIES WITH 2007 C.B.C.",,APARTMENTS,CFC ISSUED,18-Feb-14,RCRAWFOR,3560001,Neighborhood Commercial Transit,UPR MARKET NCT,7,Market and Octavia,Castro/Upper Market,"[37.765867, -122.4312068]"
201403312057,839048,8,2224,CASTRO,ST,,2224 CASTRO ST,7536,037,2,1, 1 ,SEC,Homeowner,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA # 200508251198.  ALL WORK IS COMPLETE.  ADDITIONAL DWELLING UNIT ADDED ON PA # 200508251198.,1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,03-Dec-14,,7536037,"Residential, House and Mixed",RH-2,1,,Noe Valley,"[37.743614, -122.433628]"
201204208772,774908,2,230,02ND,AV,,230 02ND AV,1432,037,3,3, -   ,,,"TO ERECT 4 STORIES,  3 UNITS, TYPE 5, RESIDENTIAL BUILDING.",,APARTMENTS,COMPLETE,11-Jun-14,GCABRERO,1432037,"Residential, House and Mixed",RM-1,8,,Inner Richmond,"[37.784401, -122.459897]"
201206112314,779150,3,230,11TH,ST,,230 11TH ST,3516,005,15,4, -   ,,,"REPAIR FIRE, SMOKE&WTR DAMAGE THROUGHOUT(NEW FINISHES, CASEWORK). EXCAVATE BSMT FOR 2 NEW APTS&SERVICE ROOMS. REMODEL EXISTING APT FLR 1-3(NEW KITCHENS,BATHS,UTILITY). ADD 4TH FLR W/ 2 NEW APTS. ADD ROOF TERRACE. REMODEL 2 EXISTING EXIT STAIRS.",APARTMENTS,APARTMENTS,PRE-FINAL,27-Aug-14,RSUCRE,3516005,South of Market Mixed Use,SLR,7,Western SoMa (EN),Mission,"[37.772532, -122.415292]"
201208107050,784829,2,233,LAIDLEY,ST,,233 LAIDLEY ST,6684,022,1,1, -   ,,,"ERECT 4 STORIES, TYPE 5, SINGLE FAMILY RESIDENCE BUILDING.",,1 FAMILY DWELLING,COMPLETE,10-Dec-14,APUTRA,6684022,"Residential, House and Mixed",RH-1,7,,Glen Park,"[37.738309, -122.427785]"
201208107053,784832,6,233,LAIDLEY,ST,,233 LAIDLEY ST,6684,022,-1,-1, -   ,,,"DEMOLISH 1 STORY, TYPE 5, SINGLE FAMILY RESIDENT BUILDING.",1 FAMILY DWELLING,,COMPLETE,10-Dec-14,APUTRA,6684022,"Residential, House and Mixed",RH-1,12,,Glen Park,"[37.738309, -122.427785]"
201209109323,787562,8,238,PARIS,ST,,238 PARIS ST,6015,009,1,-1, -   ,,,"COMPLY WITH NOV# 201169853 DATED 12/2/11-DEMOLISH 2 ILLEGAL KITCHENS, 1 ON GROUND FLOOR & 1 ON 2ND FLOOR. LEGALIZE (E) HABITABLE SPACE ON GROUND FLOOR  (1 BEDROM, 1 FAMILY ROOM, 1 BATHROOM & 1 WALK-IN LCOSET. LEGALIZE HABITABLE SPACES AT GROUND & 3RD FLOO",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,07-Jan-14,ATAEB,6015009,"Residential, House and Mixed",RH-1,7,,Excelsior,"[37.7248019, -122.432916]"
201210192453,791427,2,2397,DIAMOND,ST,,2397 DIAMOND ST,7551,107,1,1, -   ,,,ERECT TWO STORY SINGLE FAMILY DWELLING.,,1 FAMILY DWELLING,CFC ISSUED,14-May-14,SAMARASI,7551107,"Residential, House and Mixed",RH-1,1,,Glen Park,"[37.7384655, -122.43614]"
201306260603,813192,3,2418,BALBOA,ST,,2418 BALBOA ST,1568,012,2,1, 1 ,SEC,Homeowner,"ADD 1-UNIT NUMBER FOR THE (E) IN-LAW UNIT. EXPLAND 6'9"" ON REAR BACK FOR 2-STORIES. THE SAME SIZE AS THE (E) NON-PERMIT SUNROOM & FILL UNDERNEATH. FILL THE LIGHTWELL. REMODEL KITCHEN ON 2ND FL; ADD BATHROOM & LAUNDRY AREA ON 2ND FL; ADD SMALL KITCHEN ON 1",1 FAMILY DWELLING,2 FAMILY DWELLING,PRE-FINAL,17-Nov-14,SYOUNG,1568012,"Residential, House and Mixed",RH-2,8,,Outer Richmond,"[37.776583, -122.48492]"
201208248160,786143,2,2421,16TH,ST,,2421 16TH ST,3965,001,12,12, 1 ,MOD,Homeowner,"ERECT 4 STORIES, NO BASEMENT, TYPE 5A (FULLY SPRINKLERED), 12 DWELLING UNITS BLDG.",,APARTMENTS,PRE-FINAL,12-Dec-14,DSANCHEZ,3965001,Eastern Neighborhoods Mixed Use,UMU,9,Mission (EN),Mission,"[37.7654907, -122.4107608]"
200701051074,603395,2,246,RITCH,ST,,246 RITCH ST,3776,092,19,19, -   ,in-lieu,,TO ERECT A NEW 5 STORY 19 DWELLING UNIT,,APARTMENTS,COMPLETE,06-Feb-14,CTEAGUE,3776092,South of Market Mixed Use,SLI,8,Eastern Neighborhoods w/Valencia,South of Market,"[37.7802473, -122.3958055]"
201302220798,801422,8,2475,BRYANT,ST,,2475 BRYANT ST,4151,020,2,-1, -   ,,,"ABATEMENT OF NOV 201384207. REMOVE ILLEGALLY BUILT ROOF PENTHOUSE. PROVIDE NEW ROOF ACCESS HATCH IN LIEU OF PENTHOUSE. LEGALIZE SPIRAL STAIRS AND STAIR OPENING.  WORK AT ROOF LEVEL ONLY. ADD 42"" HIGH PARAPET.",2 FAMILY DWELLING,2 FAMILY DWELLING,CFC ISSUED,27-Jun-14,ATAEB,4151020,"Residential, House and Mixed",RM-1,12,Mission (EN),Mission,"[37.7548966, -122.4091164]"
200711289148,638709,2,248,OCEAN,AV,,248 OCEAN AV,3211,009,5,5, -   ,,,"New construction of a 4-story over basement, mixed use building consisting of 5-dwelling units and an office commercial use on the ground floor.",,APARTMENTS,COMPLETE,22-Apr-14,RCRAWFOR,3211009,Neighborhood Commercial,NC-1,8,,Outer Mission,"[37.723444, -122.442083]"
201311131772,826816,8,25,ELGIN,PK,,25 ELGIN PK,3502,111,9,1, 1 ,SEC,Homeowner,"NEW 1 BEDROOM, 1 BATH UNIT TO EXISTING 8 UNIT RESIDENTIAL. TO BE CONSTRUCTED WITHIN EXISTING SHELL OF BUILDING. NO HORIZONTAL OR VERTICAL EXTENSION OF EXISTING BUILDING. BUILDING WAS SEISMICALLY UPGRADED UNDER 201304305828.  SPRINKLERS REQUIRED IN NEW WOR",APARTMENTS,APARTMENTS,COMPLETE,17-Dec-14,,3502111,"Residential, Transit Oriented",RTO,4,Market and Octavia,Mission,"[37.77104629999999, -122.4231462]"
201107019385,751582,8,250,KEARNY,ST,,250 KEARNY ST,0288,025,136,-10, -   ,,,"Reconfiguring of rooms on all floors including creating of community kitchen & accessible bathrms. reducing # of rooms from 145 to 136 & increasing # of bathrms. from 110 to 131, structural work address all outstanding complaints & nov's; 200005134 & 2010",RESIDENTIAL HOTEL,RESIDENTIAL HOTEL,PRE-FINAL,22-Aug-14,ATAEB,0288025,Commercial,C-3-O,1,Downtown,Financial District/South Beach,"[37.79055719999999, -122.4038736]"
200901220624,678911,3,253,PARKER,AV,,253 PARKER AV,1086,006,3,1, 1 ,SEC,Homeowner,"REAR AND 3RD FLOOR ADDITON.  3RD UNIT & DECK. BASEMENT FLR. ADDITION OF 3 CAR GARAGE, WORK ROOM, AND 1/2 BATH.  NEW INTERIOR STAIRS.  1ST. & 2ND FLR. REMODEL. ADD FULL BATH AND DECKS ON EACH LEVEL.  STAIR ROOF HATCH AT ROOF.",2 FAMILY DWELLING,APARTMENTS,COMPLETE,11-Jun-14,ASTARR,1086006,"Residential, House and Mixed",RM-1,7,Geary Corridor,Lone Mountain/USF,"[37.7808052, -122.4543335]"
201208278277,786289,3,253,SANCHEZ,ST,,253 SANCHEZ ST,3558,029,1,1, -   ,,,REVISION TO APPLN #200805021189-S. CHANGE OF USE OF REAR SECOND STRUCTURE TO 1-DWELLING UNIT.,STORAGE SHED,1 FAMILY DWELLING,COMPLETE,28-Oct-14,APUTRA,3558029,"Residential, Transit Oriented",RTO,2,Market and Octavia,Castro/Upper Market,"[37.765113, -122.430591]"
201106017181,748906,1,2559,VAN NESS,AV,,2559 VAN NESS AV,0527,002,27,27, -   ,in-lieu,,"TO ERECT 7 STORIES, 27 UNITS RESIDENTIAL / RETAIL / GARAGE BUILDING.",,APARTMENTS,COMPLETE,25-Nov-14,GCABRERO,0527002,Commercial,RC-3,13,Van Ness Corridor,Marina,"[37.79921, -122.424482]"
201309207381,821492,8,259,CHESTER,AV,,259 CHESTER AV,7129,028,1,-1, -   ,,,COMPLY WITH 201316832. REMOVE ILLEGAL KITCHEN AT GR FLOOR. RELOCATE LAUNDRY TO GARAGE AND CONVERT LAUNDRY TO RAMILY ROOM,1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,20-Feb-14,,7129028,"Residential, House and Mixed",RH-1,9,,Oceanview/Merced/Ingleside,"[37.711255, -122.470104]"
201312113954,829393,1,260,05TH,ST,Mosso,260 05TH ST,3732,008,182,182,27,LI,Family,TO ERECT NON ELECTRIC DOUBLE FACED WALL SIGN. COMPLIANCE WITH ORD 155-13 NOT REQUIRED,,APARTMENTS,COMPLETE,23-Jun-14,EOROPEZA,3732008,Eastern Neighborhoods Mixed Use,MUR,12,Eastern Neighborhoods w/Valencia,South of Market,"[37.7807483, -122.4043537]"
201408284979,854557,2,262,MADISON,ST,,262 MADISON ST,5943,050,1,1, -   ,,,"rev 201401317506-  as built; add new bedroom, and  add door to storage room on ground floor.  add new bedroom to 2/F; no structural work.",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,06-Nov-14,,5943050,"Residential, House and Mixed",RM-1,1,,Excelsior,"[37.7258633, -122.4225721]"
200911191706,705022,3,2645,BALBOA,ST,,2645 BALBOA ST,1617,032B,2,1, 1 ,SEC,Homeowner,CONVERT A 2 STORY SINGLE FAMILY DWELLING INTO A 3 STORY 2 UNIT BUILDING BY A VERTICAL & HORIZONTAL ADDITION,1 FAMILY DWELLING,2 FAMILY DWELLING,CFC ISSUED,16-Jul-14,GCABRERO,1617032B,"Residential, House and Mixed",RH-2,12,,Outer Richmond,"[37.7759349, -122.487368]"
201408284980,854558,2,268,MADISON,ST,,268 MADISON ST,5943,051,1,1, -   ,,,"rev. 201401317508- ; as built; add new bedrooms and door, add storage room on G/F.  add new bedroom to 2/F; no structural work.",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,06-Nov-14,,5943051,"Residential, House and Mixed",RH-1,3,,Excelsior,"[37.725722, -122.422804]"
201109225304,758759,3,2701,LARKIN,ST,,2701 LARKIN ST,0477,005,12,-1, -   ,,,"RELOCATE INTERIOR WALLS @ 5TH FL CIRCULATION SPACE TO MERGE UNITS 400 AND 401. RETAIN BOTH KITCHENS. NOTE: PLANNING DEPT. HAS PENDING 317 DR CASE# 2011.1072D, ASSIGNED TO MARY WOODS",APARTMENTS,APARTMENTS,COMPLETE,10-Jun-14,MWOODS,0477005,"Residential, House and Mixed",RM-3,2,,Russian Hill,"[37.8028286, -122.4218429]"
201102140173,740462,6,2712,BROADWAY,,,2712 BROADWAY ,0959,008,-1,-1, -   ,,,"DEMOLISH 3 STORIES, TYPE 5, SINGLE FAMILY DWELLING BLDG.",1 FAMILY DWELLING,,COMPLETE,05-May-14,GCABRERO,0959008,"Residential, House and Mixed",RH-1(D),13,,Pacific Heights,"[37.79355, -122.4421894]"
